year,location,stateDescription,fueltypeid,fuelTypeDescription,total-annual-consumption,total-consumption-units,total-annual-generation,generation-units
2023,OK,Oklahoma,NGO,natural gas & other gases,364045.41500000004,thousand Mcf,44787.877650000002,thousand megawatthours
2023,OK,Oklahoma,REN,renewable,1983.7139999999999,thousand physical units,39927.311249999999,thousand megawatthours
2023,OK,Oklahoma,COW,all coal products,3537.0509999999995,thousand short tons,5198.6467999999995,thousand megawatthours
2023,OK,Oklahoma,PET,petroleum,37.245999999999995,thousand barrels,19.398630000000001,thousand megawatthours
2023,OR,Oregon,ALL,all fuels,0,thousand physical units,59015.020150000004,thousand megawatthours
2023,OR,Oregon,REN,renewable,7474.9230000000007,thousand physical units,36527.518199999999,thousand megawatthours
2023,OR,Oregon,NGO,natural gas & other gases,165010.68100000004,thousand Mcf,22463.359140000004,thousand megawatthours
2023,OR,Oregon,PET,petroleum,0,thousand barrels,0,thousand megawatthours
2023,PA,Pennsylvania,ALL,all fuels,0,thousand physical units,235968.13511999999,thousand megawatthours
2023,PA,Pennsylvania,NGO,natural gas & other gases,1098188.588,thousand Mcf,139724.66601000002,thousand megawatthours
2023,PA,Pennsylvania,NUC,nuclear,0,thousand physical units,75271.580999999991,thousand megawatthours
2023,PA,Pennsylvania,COW,all coal products,9839.5169999999998,thousand short tons,12804.141850000002,thousand megawatthours
2023,PA,Pennsylvania,REN,renewable,16523.588000000003,thousand physical units,8017.9514600000002,thousand megawatthours
2023,PA,Pennsylvania,PET,petroleum,187.55395999999999,thousand barrels,61.468260000000001,thousand megawatthours
2023,RI,Rhode Island,ALL,all fuels,0,thousand physical units,8459.2839199999999,thousand megawatthours
2023,RI,Rhode Island,NGO,natural gas & other gases,61481.126000000004,thousand Mcf,7549.0938400000005,thousand megawatthours
2023,RI,Rhode Island,REN,renewable,4793.9150000000009,thousand physical units,878.28894000000014,thousand megawatthours
2023,RI,Rhode Island,PET,petroleum,40.249000000000002,thousand barrels,19.746980000000001,thousand megawatthours
2023,RI,Rhode Island,COW,all coal products,0,thousand short tons,0,thousand megawatthours
2023,SC,South Carolina,ALL,all fuels,0,thousand physical units,101795.58093000001,thousand megawatthours
2023,SC,South Carolina,NUC,nuclear,0,thousand physical units,55622.339999999989,thousand megawatthours
2023,SC,South Carolina,NGO,natural gas & other gases,194325.23599999998,thousand Mcf,24192.351029999998,thousand megawatthours
2023,SC,South Carolina,COW,all coal products,6562.6939999999995,thousand short tons,15150.420910000001,thousand megawatthours
2023,SC,South Carolina,REN,renewable,9064.6890000000003,thousand physical units,7133.2657499999996,thousand megawatthours
2023,SC,South Carolina,PET,petroleum,218.51800000000003,thousand barrels,97.569790000000012,thousand megawatthours
2023,SD,South Dakota,ALL,all fuels,0,thousand physical units,16959.487179999996,thousand megawatthours
2023,SD,South Dakota,REN,renewable,46.433,thousand physical units,13024.52282,thousand megawatthours
2023,SD,South Dakota,NGO,natural gas & other gases,20966.340999999997,thousand Mcf,2350.29189,thousand megawatthours
2023,SD,South Dakota,COW,all coal products,1087.624,thousand short tons,1562.7420700000002,thousand megawatthours
